judul_film,genre,tahun_rilis,sutradara
Prahara,"
Drama            ",1974,Nico Pelamonia
Jangan Kau Tangisi,"
Drama            ",1974,Ratno Timoer
Pacar,"
Romance            ",1974,Turino Junaidy
Pengakuan seorang perempuan,"
Drama            ",1974,Turino Junaidy
Pengorbanan,"
Drama            ",1974,Susilo S.W.D.
Kawin lari,"
Drama            ",1974,Teguh Karya
Ranjang pengantin,"
Drama            ",1974,Teguh Karya
Ateng Minta Kawin,"
Comedy            ",1974,Nya Abbas Akup
Romi dan Juli,"
Drama, Romance            ",1974,Arifin C. Noer
Si Pitung,"
Action            ",1975,Nawi Ismail
Sebelum Usia 17,"
Comedy            ",1975,Motinggo Boesje
Laila majenun,NA,1975,Sjuman Djaya
Tiga sekawan,NA,1975,Chaerul Umam
Rahasia perawan,NA,1975,Ali Shahab
Krisis X,NA,1975,Turino Junaidy
Ateng Mata Keranjang,"
Comedy            ",1975,Asrul Sani
Tiga Cewek Badung,"
Adventure, Comedy, Family            ",1975,Nya Abbas Akup
Si Doel Anak Modern,"
Comedy, Drama, Musical            ",1976,Sjuman Djaya
Si Pitung Beraksi Kembali,"
Action            ",1976,Nawi Ismail
Pembalasan naga sakti,NA,1976,Fritz G. Schadt
Sesuatu yang indah,NA,1976,Wim Umboh
Bungalow di Lereng Bukit,NA,1976,Turino Junaidy
Pinangan,NA,1976,Sjuman Djaya
Ranjang siang ranjang malam,NA,1976,Ali Shahab
Antara surga dan neraka,"
Comedy, Drama            ",1976,Ratno Timoer
Impian perawan (Melati),"
Drama            ",1976,Chris Pattikawa
Dr. Firdaus,NA,1976,Arizal
Hanya untukmu,"
Drama            ",1976,Arizal
Janji sarinah,"
Drama            ",1976,Arizal
Gadis simpanan,"
Drama            ",1976,Willy Wilianto
Wajah tiga perempuan,"
Drama            ",1976,Nico Pelamonia
Ganasnya nafsu,"
Comedy, Drama            ",1976,Turino Junaidy
Liku-liku panasnya cinta,"
Drama            ",1976,Turino Junaidy
Semoga kau kembali,NA,1976,Motinggo Boesje
Perkawinan dalam semusim,"
Drama            ",1976,Teguh Karya
Hippies lokal,"
Comedy            ",1976,Benyamin S.
Inem Pelayan Sexy,"
Comedy            ",1976,Nya Abbas Akup
Oma Irama penasaran,"
Drama            ",1976,A. Harris
Selangit mesra,NA,1977,Turino Junaidy
Suci Sang Primadona,"
Drama, Romance            ",1977,Arifin C. Noer
Al kautsar,"
Drama            ",1977,Chaerul Umam
Badai Pasti Berlalu,"
Drama            ",1977,Teguh Karya
Pembalasan Si Pitung,NA,1977,Nawi Ismail
Krakatau,"
Action            ",1977,Sandy Suwardi Hasan
Nasib si miskin,NA,1977,Jopi Burnama
Rosita,NA,1977,Dasri Jacob
Kugapai cintamu,NA,1977,Wim Umboh
Kembang-Kembang plastik,NA,1977,Wim Umboh
Cobra,"
Action, Drama            ",1977,Rempo Urip
Cacat dalam kandungan,NA,1977,Fritz G. Schadt
Jangan menangis mama,NA,1977,Sofia W.D.
Cinta putih,NA,1977,Chaerul Umam
Gaun hitam,NA,1977,Ali Shahab
Secerah senyum,NA,1977,Arizal
Cinta bersemi,"
Drama            ",1977,Chris Pattikawa
Aula cinta,NA,1977,Arizal
Cowok komersil,NA,1977,Arizal
Semau gue,NA,1977,Arizal
Akulah Vivian,NA,1977,M. Endraatmadja
Rahasia Seorang Ibu,"
Drama            ",1977,Wahyu Sihombing
Anggrek merah,NA,1977,Nico Pelamonia
Marina,"
Drama            ",1977,Nico Pelamonia
Yoan,"
Drama            ",1977,Nico Pelamonia
Sinyo Adi,"
Comedy            ",1977,Liliek Sudjio
Sorga,NA,1977,Turino Junaidy
Gara-gara janda kaya,NA,1977,Azwar An
Akibat pergaulan bebas,NA,1977,Matnoor Tindaon
Arwah komersil dalam kampus,"
Comedy            ",1977,Muchlis Raya
Letnan Harahap,"
Drama            ",1977,Sophan Sophiaan
Istriku Sayang Istriku Malang,"
Family            ",1977,Wahab Abdi
Para Perintis Kemerdekaan,"
Action, Drama            ",1977,Asrul Sani
Kemelut Hidup,"
Drama            ",1977,Asrul Sani
Penasaran,"
Drama            ",1977,A. Harris
Pendekar tangan hitam,"
Action            ",1977,A. Harris
Sorga yang Hilang,"
Fantasy            ",1977,Pitradjaya Burnama
Kera Sakti,"
Action, Adventure            ",1978,Kuan Tai Chen
Pengemis dan Tukang Becak,NA,1978,Wim Umboh
Bulu-Bulu Cendrawasih,"
Drama            ",1978,Nurhadie Irawan
Musim bercinta,NA,1978,Arizal
Raja dangdut,NA,1978,Maman Firmansyah
Pulau cinta,"
Drama            ",1978,Ali Shahab
Napas perempuan,NA,1978,Ali Shahab
Laki-laki binal,"
Drama            ",1978,Arizal
Kisah Cinderella,NA,1978,Willy Wilianto
Mat Peci,"
Comedy, Drama            ",1978,Willy Wilianto
Perempuan tanpa dosa,NA,1978,Nico Pelamonia
Salah kamar,NA,1978,Liliek Sudjio
Godaan Siluman Perempuan,"
Horror            ",1978,Ackyl Anwari
Martini,"
Drama            ",1978,M. Sharieffudin A.
Duyung ajaib,NA,1978,Benyamin S.
Betty bencong slebor,"
Comedy            ",1978,Benyamin S.
Rahasia Perkawinan,"
Drama            ",1978,Maman Firmansyah
Balada dua jagoan,"
Action            ",1979,Fritz G. Schadt
Black Belt Karate,"
Action, Drama            ",1979,Wisjnu Mouradhy
Petualang cinta,NA,1979,Turino Junaidy
Tuyul,"
Horror            ",1979,Bay Isbahi
Janur Kuning,"
Drama, War            ",1979,Alam Rengga Surawidjaja
Tuyul Eee Ketemu Lagi,"
Comedy, Fantasy            ",1979,Liliek Sudjio
Gadis kampus,NA,1979,Ishaq Iskandar
Pelajaran cinta,NA,1979,Matnoor Tindaon
Dr Siti Pertiwi Kembali ke Desa,NA,1979,Ami Priyono
Kisah cinta Rojali dan Zuleha,"
Drama            ",1979,Nya Abbas Akup
Sepasang merpati,NA,1979,Chaerul Umam
Kecupan pertama,"
Drama            ",1979,Arizal
Gita Cinta dari SMA,"
Romance            ",1979,Arizal
Puspa Indah Taman Hati,NA,1979,Arizal
